 Num,Check Item,Audit Value,Configuration Value,Result
3.2.5,Ensure DHCP is not enabled,verify all runlevels are listed as off or dhcpd is not available,error reading information on service dhcpd: No such file or directory,Compliance,High
3.2.6,Ensure LDAP is not enabled,verify all runlevels are listed as off or slapd is not available,error reading information on service slapd: No such file or directory,Compliance,High
3.2.7,Ensure DNS Server is not enabled,verify all runlevels are listed as off or named is not available,error reading information on service named: No such file or directory,Compliance,High
3.2.8,Ensure FTP Server is not enabled,verify all runlevels are listed as off or vsftpd is not available,error reading information on service vsftpd: No such file or directory,Compliance,High
3.2.9,Ensure HTTP Server is not enabled,verify all runlevels are listed as off or httpd is not available,error reading information on service httpd: No such file or directory,Compliance,High
3.2.10,Ensure IMAP and POP3 Server is not enabled,verify all runlevels are listed as off or dovecot is not available,error reading information on service dovecot: No such file or directory,Compliance,High
3.2.12,Ensure HTTP Proxy Server is not enabled,verify all runlevels are listed as off or squid is not available,error reading information on service squid: No such file or directory,Compliance,High
3.2.15,Ensure NIS Server is not enabled,verify all runlevels are listed as off or ypserv is not available,error reading information on service ypserv: No such file or directory,Compliance,High
3.3.1,Ensure NIS Client is not installed,RUN rpm -q ypbind --> verify ypbind is not installed,package ypbind is not installed,Compliance,High
3.3.2,Ensure RSH Client is not installed,RUN rpm -q rsh --> verify rsh is not installed,package rsh is not installed,Compliance,High
3.3.3,Ensure Talk Client is not installed,RUN rpm -q talk --> verify talk is not installed,package talk is not installed,Compliance,High
3.3.5,Ensure LDAP Client is not installed,RUN rpm -q openldap-clients --> verify openldap-clients is not installed,package openldap-clients is not installed,Compliance,High
4.1.1,Ensure IP forwarding is disabled,Run sysctl net.ipv4.ip_forward --> Verify value is '0',net.ipv4.ip_forward = 0,Compliance,High
4.2.1,Ensure source routed packets are not accepted,Run sysctl net.ipv4.conf.all.accept_source_route|net.ipv4.conf.default.accept_source_route --> Verify value is '0',net.ipv4.conf.all.accept_source_route = 0 net.ipv4.conf.default.accept_source_route = 0,Compliance,High
4.2.5,Ensure broadcast ICMP requests are ignored,Run sysctl net.ipv4.icmp_echo_ignore_broadcasts --> Verify value is '1',net.ipv4.icmp_echo_ignore_broadcasts = 1,Compliance,High
4.2.6,Ensure bogus ICMP responses are ignored,Run sysctl net.ipv4.icmp_ignore_bogus_error_responses --> Verify value is '1',net.ipv4.icmp_ignore_bogus_error_responses = 1,Compliance,High
4.2.8,Ensure TCP SYN Cookies is enabled,Run sysctl net.ipv4.tcp_syncookies --> Verify value is '1',net.ipv4.tcp_syncookies = 1,Compliance,High
4.4.1,Ensure TCP Wrappers is installed,RUN rpm -q tcp_wrappers --> verify tcp_wrappers is installed,tcp_wrappers-7.6-57.el6.x86_64,Compliance,High
4.5.1,Ensure DCCP is disabled,Run lsmod|grep dccp --> No output,dccp is not enable,Compliance,High
4.5.2,Ensure SCTP is disabled,Run lsmod|grep sctp --> No output,sctp is not enable,Compliance,High
4.5.3,Ensure RDS is disabled,Run lsmod|grep rds --> No output,rds is not enable,Compliance,High
4.5.4,Ensure TIPC is disabled,Run lsmod|grep tipc --> No output,tipc is not enable,Compliance,High
4.6.1,Ensure iptables is installed,Run rpm -q iptables --> verify iptables is installed,iptables-1.4.7-11.el6.x86_64,Compliance,High
